,,,,,,
uncorrupted,F0,F1,F2,F3,,
"""ah"" 100Hz",758.3,1051.4,2954.0,3368.4,,
"""ah"" 126Hz",757.0,1044.5,2942.8,3362.1,,
"""ae"" 100Hz",756.4,1449.4,2449.0,3364.3,,
"""ae"" 126Hz",756.8,1440.5,2443.3,-,,
"""ee"" 100Hz",225.8,2254.9,3049.6,3348.0,,
"""ee"" 126Hz",239.1,2254.0,3071.7,-,,
"""er"" 100Hz",446.6,1204.1,2673.1,-,,
"""er"" 126Hz",481.7,1274.9,-,-,,
"""oo"" 100Hz",235.6,836.0,-,-,,
"""oo"" 126Hz",240.5,863.1,2249.6,-,,
,,,,,,
,,,,,,
SNR 30 dB,F0,F1,F2,F3,,Identification from F0 & F1
"""ah"" 100Hz",757.3,1048.3,2958.0,3376.4,,Yes
"""ah"" 126Hz",756.8,1044.3,2944.2,3364.5,,Yes
"""ae"" 100Hz",756.4,1448.5,2449.9,3363.6,,Yes
"""ae"" 126Hz",757.1,1441.3,2446.7,-,,Yes
"""ee"" 100Hz",227.9,2257.4,3045.0,3342.7,,Yes
"""ee"" 126Hz",240.5,2254.3,3070.7,-,,Yes
"""er"" 100Hz",438.7,1194.9,-,-,,Yes
"""er"" 126Hz",460.3,1269.8,3139.2,-,,Yes
"""oo"" 100Hz",235.9,824.4,-,-,,Yes
"""oo"" 126Hz",243.2,845.1,-,-,,Yes
,,,,,,
,,,,,,
SNR 15 dB,F0,F1,F2,F3,,Identification from F0 & F1
"""ah"" 100Hz",751.9,1041.1,3421.8,-,,Yes
"""ah"" 126Hz",755.5,1047.4,3284.4,-,,Yes
"""ae"" 100Hz",755.4,1443.7,2455.3,3345.7,,Yes
"""ae"" 126Hz",759.2,1442.7,2480.7,3238.9,,Yes
"""ee"" 100Hz",217.9,2269.3,3062.2,3376.9,,Yes
"""ee"" 126Hz",233.2,2275.6,3068.9,3411.8,,Yes
"""er"" 100Hz",442.1,1176.0,3228.7,-,,Yes
"""er"" 126Hz",432.7,1167.7,2705.7,3236.3,,Yes
"""oo"" 100Hz",198.3,-,3183.3,-,,No
"""oo"" 126Hz",231.9,2729.5,3251.4,-,,Yes
,,,,,,
SNR 15 dB,F0,F1,F2,F3,,Identification from F0 & F1
"""ah"" 100Hz",784.0,-,3350.1,-,,No
"""ah"" 126Hz",808.4,-,3259.0,-,,No
"""ae"" 100Hz",755.0,1427.1,2567.5,3216.2,,Yes
"""ae"" 126Hz",299.4,756.1,1435.6,3307.5,,No
"""ee"" 100Hz",-,-,3065.7,3378.8,,No
"""ee"" 126Hz",256.2,-,3287.8,-,,No
"""er"" 100Hz",450.5,1172.9,1726.6,2864.9,,Yes
"""er"" 126Hz",435.6,1149.8,2731.1,3251.0,,No
"""oo"" 100Hz",233.4,2779.3,3276.7,-,,No
"""oo"" 126Hz",259.3,2723.3,3248.6,-,,No
